"","id","release_date","year","month","day","hero","mythic_skin","season","price_usd","price_prisms"
"1",1,"2022-10-04",2022,10,4,"Genji","Cyber Demon",1,40,50
"2",2,"2023-10-10",2023,10,10,"Hanzo","Onryo",7,40,50
"3",3,"2024-02-13",2024,2,13,"Moira","Ancient Caller",9,40,50
"4",4,"2024-06-20",2024,6,20,"Ashe","Calamity Empress",11,40,50
"5",5,"2024-07-20",2024,7,20,"Reaper","Anubis",12,40,50
"6",6,"2023-07-10",2023,7,10,"Ana","A-7000 Wargod",6,40,50
"7",7,"2024-04-16",2024,4,16,"Mercy","Vengeance",10,40,50
"8",8,"2023-04-11",2023,4,11,"Sigma","Galactic Emperor",4,40,50
"9",9,"2024-10-15",2024,10,15,"Widowmaker","Spellbinder",13,40,50
"10",10,"2023-06-13",2023,6,13,"Tracer","Adventurer",5,40,50
"11",11,"2023-12-05",2023,12,5,"Orisa","Grand Beast",8,40,50
"12",12,"2023-02-07",2023,2,7,"Kiriko","Amaterasu",3,40,50
"13",13,"2022-12-06",2022,12,6,"Junker Queen","Zeus",2,40,50
