"","hero","skins","skin_ratio"
"1","ana",38,0.0304731355252606
"2","ashe",31,0.02485966319166
"3","baptiste",27,0.0216519647153168
"4","bastion",34,0.0272654370489174
"5","brigitte",32,0.0256615878107458
"6","cassidy",35,0.0280673616680032
"7","doomfist",31,0.02485966319166
"8","dva",37,0.0296712109061748
"9","echo",26,0.020850040096231
"10","genji",44,0.0352846832397755
"11","hanzo",36,0.028869286287089
"12","illari",16,0.0128307939053729
"13","junker queen",18,0.0144346431435445
"14","junkrat",32,0.0256615878107458
"15","juno",5,0.00400962309542903
"16","kiriko",25,0.0200481154771451
"17","lifeweaver",17,0.0136327185244587
"18","lucio",38,0.0304731355252606
"19","mauga",12,0.00962309542902967
"20","mei",35,0.0280673616680032
"21","mercy",44,0.0352846832397755
"22","moira",30,0.0240577385725742
"23","orisa",29,0.0232558139534884
"24","pharah",35,0.0280673616680032
"25","ramattra",18,0.0144346431435445
"26","reaper",42,0.0336808340016038
"27","reinhardt",40,0.0320769847634322
"28","roadhog",35,0.0280673616680032
"29","sigma",27,0.0216519647153168
"30","sojourn",21,0.0168404170008019
"31","soldier: 76",38,0.0304731355252606
"32","sombra",36,0.028869286287089
"33","symmetra",34,0.0272654370489174
"34","torbjorn",32,0.0256615878107458
"35","tracer",40,0.0320769847634322
"36","venture",9,0.00721732157177225
"37","widowmaker",41,0.032878909382518
"38","winston",29,0.0232558139534884
"39","wrecking ball",29,0.0232558139534884
"40","zarya",35,0.0280673616680032
"41","zenyatta",34,0.0272654370489174
